CondRecNo.	Customer	Customer number	Amount	Valid From	Valid to	SOrg.	DChl
156406	40016	EXCLUSIVE BOOKS EASTGATE	60.90-	30.12.2009	31.12.9999	101	10
156407	40018	EXCLUSIVE BOOKS CLAREMONT	60.90-	30.12.2009	31.12.9999	101	10
156408	40019	PROVINCIAL LIBRARY SERVICE WCAPE	60.90-	30.12.2009	31.12.9999	101	10
156409	40020	EXCLUSIVE BOOKS VILLAGE WALK	60.90-	30.12.2009	31.12.9999	101	10
156410	40027	EXCLUSIVE BOOKS VICTORIA WHARF	60.90-	30.12.2009	31.12.9999	101	10
156411	40035	SH539  RELIABLE RADIO & TV cc SELBY	85.30-	30.12.2009	31.12.9999	101	10
156412	40044	TOYS R US HEAD OFFICE	109.70-	30.12.2009	31.12.9999	101	10
156413	40047	TOYS 'R' US - HEAD OFFICE	109.70-	30.12.2009	31.12.9999	101	10
156414	40260	LEISURE BOOKS	158.50-	30.12.2009	31.12.9999	101	10
156415	40275	PICK N PAY HYPERMARKETS	40.00-	30.12.2009	13.02.2011	101	10
156416	40281	BABY CITY HEAD OFFICE	60.90-	30.12.2009	31.12.9999	101	10
156417	40285	REGGIES HEAD OFFICE	109.70-	30.12.2009	31.12.9999	101	10
156418	40365	JET MUSIC	85.30-	30.12.2009	07.07.2011	101	10
185526	40365	JET MUSIC	109.70-	08.07.2011	31.12.9999	101	10
156419	40370	SH578 RYTHMIC BEAT	60.90-	30.12.2009	31.12.9999	101	10
156420	40389	SUPER CD  EAST RAND MALL	85.30-	30.12.2009	31.12.9999	101	10
156421	40390	SUPER CD THE GLEN	85.30-	30.12.2009	31.12.9999	101	10
156422	40391	SUPER CD WESTGATE	85.30-	30.12.2009	31.12.9999	101	10
156423	40392	SUPER CD NELSPRUIT	85.30-	30.12.2009	31.12.9999	101	10
156424	40440	MUSIC MOODS CENTURION	109.70-	30.12.2009	31.12.9999	101	10
156425	40441	MUSIC MOODS EKHAYA	109.70-	30.12.2009	31.12.9999	101	10
173547	40445	PICK N PAY NORTHERN CORPORATE	40.00-	08.09.2010	13.02.2011	101	10
156426	40453	TOP CD PTY LTD	109.70-	30.12.2009	31.12.9999	101	10
156427	40470	LOOK AND LISTEN SKE 30 DAY ACC	122.00-	30.12.2009	17.03.2010	101	10
163332	40470	LOOK AND LISTEN SKE 30 DAY ACC	176.80-	18.03.2010	31.12.9999	101	10
173545	40485	PICK N PAY GAUTENG OFS CORPORATE	40.00-	08.09.2010	13.02.2011	101	10
175413	40538	PICK N PAY EASTERN CAPE FAMILY	40.00-	16.11.2010	13.02.2011	101	10
156428	40550	EXCLUSIVE BOOKS CENTURY CITY	60.90-	30.12.2009	31.12.9999	101	10
173542	40645	PICK N PAY NATAL CORPORATE	40.00-	08.09.2010	13.02.2011	101	10
156429	40655	MUSIC MIX	60.90-	30.12.2009	31.12.9999	101	10
156430	40700	LOOK AND LISTEN SKE 60 DAY ACC	122.00-	30.12.2009	17.03.2010	101	10
163331	40700	LOOK AND LISTEN SKE 60 DAY ACC	176.80-	18.03.2010	31.12.9999	101	10
156431	40710	SPAR EASTERN CAPE	60.90-	30.12.2009	31.12.9999	101	10
175412	40730	PICK N PAY EASTERN CAPE CORPORATE	40.00-	16.11.2010	13.02.2011	101	10
156432	40770	TAKE 2	60.90-	30.12.2009	03.05.2012	101	10
200779	40770	TAKE 2	109.70-	04.05.2012	31.12.9999	101	10
156433	40780	CREDIT NOTE - SPAR EASTERN CAPE	60.90-	30.12.2009	31.12.9999	101	10
156434	40783	CREDIT NOTE - LOOK & LISTEN	122.00-	30.12.2009	31.12.9999	101	10
156435	40817	SPAR SOUTH RAND	60.90-	30.12.2009	31.12.9999	101	10
156436	40836	EDCON (PROPRIETARY) LIMITED	158.50-	30.12.2009	31.12.9999	101	10
156437	40878	MUSIC MOODS	109.70-	30.12.2009	31.12.9999	101	10
156438	40905	FLIP BEZUIDENHOUT PRODUKSIES	200.00-	30.12.2009	31.12.9999	101	10
156439	40906	SPAR NORTH RAND	60.90-	30.12.2009	31.12.9999	101	10
156440	40915	HI FI CORPORATION HOME VIDEO	109.70-	30.12.2009	31.12.9999	101	10
156441	40916	SUPREME FURNISHERS (NAMIBIA) PTY LT	109.70-	30.12.2009	31.12.9999	101	10
156442	40917	HI-FI ELECTRIC WAREHOUSE (PTY) LTD	109.70-	30.12.2009	31.12.9999	101	10
156443	40970	SPAR KWAZULU NATAL	60.90-	30.12.2009	31.12.9999	101	10
156444	40971	SPAR WESTERN CAPE	60.90-	30.12.2009	31.12.9999	101	10
156445	40995	EXCLUSIVE BOOKS MIDLANDS MALL	60.90-	30.12.2009	31.12.9999	101	10
156446	41010	JIVE CITY	122.00-	30.12.2009	07.07.2011	101	10
185525	41010	JIVE CITY	109.70-	08.07.2011	31.12.9999	101	10
156447	41034	MUSIC OBSESSION HONEYDEW	60.90-	30.12.2009	31.12.9999	101	10
191908	41070	LOOT CO ZA	85.30-	02.11.2011	31.01.2012	101	10
195720	41070	LOOT CO ZA	85.30-	22.02.2012	31.12.9999	101	10
156448	41095	HIGH FIDELITY	60.90-	30.12.2009	31.12.9999	101	10
156449	41117	MUSIC MOODS SOMERSET WEST	109.70-	30.12.2009	31.12.9999	101	10
156450	41118	BRETTIAN PRODUCTIONS CC	200.00-	30.12.2009	31.12.9999	101	10
156451	41122	MUSIC MOODS  KECOMA PTY LTD	109.70-	30.12.2009	31.12.9999	101	10
156452	41123	TOY ZONE	60.90-	30.12.2009	31.12.9999	101	10
156453	41128	TOP CD QUAGGA	109.70-	30.12.2009	31.12.9999	101	10
156454	41179	AIRPORT RETAIL CONCESSIONS PTY LTD	60.90-	30.12.2009	31.12.9999	101	10
156455	41204	REBEL MUSIC	60.90-	30.12.2009	31.12.9999	101	10
156456	41228	EDCON PTY LTD	158.50-	30.12.2009	31.12.9999	101	10
156457	41260	MUSIC OBSESSION RUSTENBURG	60.90-	30.12.2009	31.12.9999	101	10
156458	41261	MUSIC OBSESSION KRUGERSDORP	60.90-	30.12.2009	31.12.9999	101	10
156459	41262	MUSIC OBSESSION VEREENIGING	60.90-	30.12.2009	31.12.9999	101	10
156460	41263	MUSIC OBSESSION PIETERMARITZBURG	60.90-	30.12.2009	31.12.9999	101	10
156461	41264	MUSIC OBSESSION WITBANK	60.90-	30.12.2009	31.12.9999	101	10
156462	41285	SALON MUSIC	60.90-	30.12.2009	31.12.9999	101	10
156464	400006	EDREAMS DOT CO DOT ZA	146.30-	30.12.2009	31.12.9999	101	10
156465	400020	HIGH FIDELITY  BEDFORD	60.90-	30.12.2009	31.12.9999	101	10
156466	400030	SH640 ZIGGYS	60.90-	30.12.2009	31.12.9999	101	10
156467	400041	MUSIC OBSESSION VANDERBIJLPARK	60.90-	30.12.2009	31.12.9999	101	10
156468	400051	SHOP A SAVE	60.90-	30.12.2009	31.12.9999	101	10
156469	400061	SH628 PHASE 2 CD'S (NEW ACCOUNT)	109.70-	30.12.2009	31.12.9999	101	10
156470	400067	INCREDIBLE MUSIC	60.90-	30.12.2009	31.12.9999	101	10
156471	400097	KALAHARI NET A DIVISION OF 24 COM	85.30-	30.12.2009	31.12.9999	101	10
156472	400106	SH578  RYTHMIC BEAT	60.90-	30.12.2009	31.12.9999	101	10
156473	400107	MICROMATICA 139 (PTY) T/A RYTHMIC B	60.90-	30.12.2009	31.12.9999	101	10
156474	400131	STREET BASS CC	60.90-	30.12.2009	31.12.9999	101	10
156475	400135	SH645 MUSIC 4 U	60.90-	30.12.2009	31.12.9999	101	10
156476	400160	CUM BOOKS VEREENIGING	85.30-	30.12.2009	31.12.9999	101	10
156477	400165	ASTOR CASH AND CARRY	85.30-	30.12.2009	31.12.9999	101	10
156478	400183	DAKOTA RECORD BAR CC	158.50-	30.12.2009	31.12.9999	101	10
156479	400190	BLOCKBUSTERS BRACKENHURST	85.30-	30.12.2009	31.12.9999	101	10
156480	400192	BLOCKBUSTERS DOUGLASDALE	85.30-	30.12.2009	31.12.9999	101	10
156481	400194	BLOCKBUSTERS EPSOM DOWNS	85.30-	30.12.2009	31.12.9999	101	10
