CondRecNo.	Customer	Customer number	Amount	Valid From	Valid to	SOrg.	DChl
0000156406	0000040016	EXCLUSIVE BOOKS EASTGATE	60.90-	30.12.2009	31.12.9999	101	10
0000156407	0000040018	EXCLUSIVE BOOKS CLAREMONT	60.90-	30.12.2009	31.12.9999	101	10
0000156408	0000040019	PROVINCIAL LIBRARY SERVICE WCAPE	60.90-	30.12.2009	31.12.9999	101	10
0000156409	0000040020	EXCLUSIVE BOOKS VILLAGE WALK	60.90-	30.12.2009	31.12.9999	101	10
0000156410	0000040027	EXCLUSIVE BOOKS VICTORIA WHARF	60.90-	30.12.2009	31.12.9999	101	10
0000156411	0000040035	SH539  RELIABLE RADIO & TV cc SELBY	85.30-	30.12.2009	31.12.9999	101	10
0000156412	0000040044	TOYS R US HEAD OFFICE	109.70-	30.12.2009	31.12.9999	101	10
0000156413	0000040047	TOYS 'R' US - HEAD OFFICE	109.70-	30.12.2009	31.12.9999	101	10
0000156414	0000040260	LEISURE BOOKS	158.50-	30.12.2009	31.12.9999	101	10
0000156415	0000040275	PICK N PAY HYPERMARKETS	40.00-	30.12.2009	13.02.2011	101	10
0000156416	0000040281	BABY CITY HEAD OFFICE	60.90-	30.12.2009	31.12.9999	101	10
0000156417	0000040285	REGGIES HEAD OFFICE	109.70-	30.12.2009	31.12.9999	101	10
0000156418	0000040365	JET MUSIC	85.30-	30.12.2009	07.07.2011	101	10
0000185526	0000040365	JET MUSIC	109.70-	08.07.2011	31.12.9999	101	10
0000156419	0000040370	SH578 RYTHMIC BEAT	60.90-	30.12.2009	31.12.9999	101	10
0000156420	0000040389	SUPER CD  EAST RAND MALL	85.30-	30.12.2009	31.12.9999	101	10
0000156421	0000040390	SUPER CD THE GLEN	85.30-	30.12.2009	31.12.9999	101	10
0000156422	0000040391	SUPER CD WESTGATE	85.30-	30.12.2009	31.12.9999	101	10
0000156423	0000040392	SUPER CD NELSPRUIT	85.30-	30.12.2009	31.12.9999	101	10
0000156424	0000040440	MUSIC MOODS CENTURION	109.70-	30.12.2009	31.12.9999	101	10
0000156425	0000040441	MUSIC MOODS EKHAYA	109.70-	30.12.2009	31.12.9999	101	10
0000173547	0000040445	PICK N PAY NORTHERN CORPORATE	40.00-	08.09.2010	13.02.2011	101	10
0000156426	0000040453	TOP CD PTY LTD	109.70-	30.12.2009	31.12.9999	101	10
0000156427	0000040470	LOOK AND LISTEN SKE 30 DAY ACC	122.00-	30.12.2009	17.03.2010	101	10
0000163332	0000040470	LOOK AND LISTEN SKE 30 DAY ACC	176.80-	18.03.2010	31.12.9999	101	10
0000173545	0000040485	PICK N PAY GAUTENG OFS CORPORATE	40.00-	08.09.2010	13.02.2011	101	10
0000175413	0000040538	PICK N PAY EASTERN CAPE FAMILY	40.00-	16.11.2010	13.02.2011	101	10
0000156428	0000040550	EXCLUSIVE BOOKS CENTURY CITY	60.90-	30.12.2009	31.12.9999	101	10
