SOrg.	DChl	Material	Material Number	Clt	MTyp	EAN/UPC	Plnt
101	10	000000000000008974	SHANGHAI DOUBLE PACK (DVD) OTH	X	ZFIN	6004416056150	111
101	11	000000000000008974	SHANGHAI DOUBLE PACK (DVD) OTH	X	ZFIN	6004416056150	111
101	11	000000000000008959	ANITA & ME (DVD)OTH	X	ZDVD	6004416056051	111
101	10	000000000000008959	ANITA & ME (DVD)OTH	X	ZDVD	6004416056051	111
101	11	000000000000008957	MY BOSS'S DAUGHTER (DVD) OTH	X	ZDVD	6004416056136	111
101	10	000000000000008957	MY BOSS'S DAUGHTER (DVD) OTH	X	ZDVD	6004416056136	111
101	11	000000000000008948	EVELYN  (DVD)OTH	X	ZDVD	6004416056037	111
101	10	000000000000008948	EVELYN  (DVD)OTH	X	ZDVD	6004416056037	111
101	11	000000000000008940	HELLRAISER HELLSEEKER (DVD) OTH	X	ZDVD	6004416054231	111
101	10	000000000000008940	HELLRAISER HELLSEEKER (DVD) OTH	X	ZDVD	6004416054231	111
101	11	000000000000008899	BRUCE ALMIGHTY RETAIL (DVD) OTH		ZDVD	6004416053517	111
101	10	000000000000008899	BRUCE ALMIGHTY RETAIL (DVD) OTH		ZDVD	6004416053517	111
101	11	000000000000008816	CONFIDENCE (DVD) OTH	X	ZDVD	6004416054163	111
101	10	000000000000008816	CONFIDENCE (DVD) OTH	X	ZDVD	6004416054163	111
101	11	000000000000008802	INHERITANCE (DVD)OTH	X	ZDVD	6004416056419	111
101	10	000000000000008802	INHERITANCE (DVD)OTH	X	ZDVD	6004416056419	111
101	11	000000000000008801	TATTOO , A LOVE STORY (DVD)OTH	X	ZDVD	6004416053579	111
101	10	000000000000008801	TATTOO , A LOVE STORY (DVD)OTH	X	ZDVD	6004416053579	111
101	11	000000000000008799	THEY (DVD) OTH	X	ZDVD	6004416053937	111
101	10	000000000000008799	THEY (DVD) OTH	X	ZDVD	6004416053937	111
101	11	000000000000008798	SWIMMING UPSTREAM (DVD) OTH	X	ZDVD	6004416053975	111
101	10	000000000000008798	SWIMMING UPSTREAM (DVD) OTH	X	ZDVD	6004416053975	111
101	11	000000000000008797	SHAOLIN SOCCER (DVD) OTH	X	ZDVD	6004416054149	111
101	10	000000000000008797	SHAOLIN SOCCER (DVD) OTH	X	ZDVD	6004416054149	111
101	11	000000000000008796	OUT FOR BLOOD (DVD) OTH	X	ZDVD	6004416059144	111
101	10	000000000000008796	OUT FOR BLOOD (DVD) OTH	X	ZDVD	6004416059144	111
101	10	000000000000008794	ACCIDENTAL SPY ,THE (DVD) OTH	X	ZDVD	6004416054002	111
101	10	000000000000008793	MIMIC 2 (DVD) OTH	X	ZDVD	6004416053753	111
101	11	000000000000008784	WOMAN HUNTED ,A (DVD) OTH	X	ZDVD	6004416053890	111
101	10	000000000000008784	WOMAN HUNTED ,A (DVD) OTH	X	ZDVD	6004416053890	111
101	11	000000000000008783	PLEASURE OF SIN DVD (OTH)	X	ZDVD	6004416053883	111
101	10	000000000000008783	PLEASURE OF SIN DVD (OTH)	X	ZDVD	6004416053883	111
101	11	000000000000008780	OF A FEATHER (DVD)OTH	X	ZDVD	6004416053852	111
101	10	000000000000008780	OF A FEATHER (DVD)OTH	X	ZDVD	6004416053852	111
101	11	000000000000008779	REUNITED (DVD)OTH	X	ZDVD	6004416053845	111
101	10	000000000000008779	REUNITED (DVD)OTH	X	ZDVD	6004416053845	111
101	11	000000000000008777	JIM & JANE - COMPROMISING SIT. (DVD) OTH	X	ZDVD	6004416053821	111
101	10	000000000000008777	JIM & JANE - COMPROMISING SIT. (DVD) OTH	X	ZDVD	6004416053821	111
101	11	000000000000008776	TRAIN , THE (DVD) OTH	X	ZDVD	6004416053814	111
101	10	000000000000008776	TRAIN , THE (DVD) OTH	X	ZDVD	6004416053814	111
101	11	000000000000008764	SHELTER  (DVD) OTH	X	ZDVD	6004416053715	111
101	10	000000000000008764	SHELTER  (DVD) OTH	X	ZDVD	6004416053715	111
101	11	000000000000008757	SINGLE LOVE MISSY (DVD) OTH	X	ZDVD	6004416053692	111
101	10	000000000000008757	SINGLE LOVE MISSY (DVD) OTH	X	ZDVD	6004416053692	111
