CondRecNo.	Material	Material Number	Amount	Valid From	Valid to	SOrg.	DChl
0000156494	000000000000006281	UNIVERSAL SOLDIER 2 THE RETURN(DVD)SPHE	37.02	30.12.2009	31.12.9999	101	10
0000156495	000000000000007159	DO NOT USE - SHANGHAI NOON (DVD) OTH	44.42	30.12.2009	31.12.9999	101	10
0000156496	000000000000007921	ONE NIGHT AT MCCOOLS (DVD)OTH	24.45	30.12.2009	31.12.9999	101	10
0000156497	000000000000007931	SOUL KEEPERS (DVD)OTH	24.45	30.12.2009	31.12.9999	101	10
0000156498	000000000000007933	HELP I'M A FISH (DVD)OTH	37.02	30.12.2009	31.12.9999	101	10
0000156499	000000000000007958	DOMESTIC DISTURBANCE (DVD)OTH	44.42	30.12.2009	31.12.9999	101	10
0000156500	000000000000007962	FAILURE IS NOT AN OPTION (DVD)OTH	29.61	30.12.2009	31.12.9999	101	10
0000156501	000000000000008013	FRAMED (DVD) OTH	29.61	30.12.2009	31.12.9999	101	10
0000156502	000000000000008057	CROSSROADS (DVD) OTH	44.42	30.12.2009	31.12.9999	101	10
0000156503	000000000000008065	PRESSURE (DVD) OTH	29.61	30.12.2009	31.12.9999	101	10
0000156504	000000000000008134	COUNT OF MONTE CRISTO (DVD) OTH	44.42	30.12.2009	31.12.9999	101	10
0000156505	000000000000008169	SCOUNDREL'S WIFE (DVD) OTH	29.61	30.12.2009	31.12.9999	101	10
0000156506	000000000000008170	COMIC BOOK VILLIANS (DVD) OTH	24.45	30.12.2009	31.12.9999	101	10
0000156507	000000000000008175	BEND IT LIKE BECKHAM (DVD) OTH	37.02	30.12.2009	31.12.9999	101	10
0000156508	000000000000008184	BEAUTIFUL PEOPLE (DVD)OTH	96.28	30.12.2009	16.08.2012	101	10
0000156509	000000000000008185	GODS MUST BE CRAZY 1 (DVD)OTH	96.28	30.12.2009	31.12.9999	101	10
0000156510	000000000000008186	GODS MUST BE CRAZY 2 (DVD)OTH	96.28	30.12.2009	31.12.9999	101	10
0000156511	000000000000008187	FUNNY PEOPLE 1 (DVD)OTH	74.06	30.12.2009	16.08.2012	101	10
0000156512	000000000000008188	FUNNY PEOPLE 2 (DVD)OTH	74.06	30.12.2009	16.08.2012	101	10
0000156513	000000000000008232	FLASHBACK (DVD)OTH	29.61	30.12.2009	31.12.9999	101	10
0000156514	000000000000008260	MY BIG FAT GREEK WEDDING (DVD)OTH	59.25	30.12.2009	31.12.9999	101	10
0000156515	000000000000008261	SESSION 9(DVD) OTH	24.45	30.12.2009	31.12.9999	101	10
0000156516	000000000000008362	ASH WEDNESDAY (DVD) OTH	24.45	30.12.2009	31.12.9999	101	10
0000156517	000000000000008412	REIGN OF FIRE (DVD) OTH	44.42	30.12.2009	31.12.9999	101	10
0000156518	000000000000008418	21 GRAMS (DVD) OTH	44.42	30.12.2009	31.12.9999	101	10
0000156519	000000000000008421	GUYS, THE (DVD) OTH	44.42	30.12.2009	31.12.9999	101	10
0000156520	000000000000008423	LOST IN TRANSLATION (DVD) OTH	24.45	30.12.2009	31.12.9999	101	10
0000156521	000000000000008424	UNDERWORLD (DVD) OTH	59.25	30.12.2009	31.12.9999	101	10
0000156522	000000000000008427	MY LIFE WITHOUT ME (DVD) OTH	44.42	30.12.2009	31.12.9999	101	10
0000156523	000000000000008429	FAR FROM HEAVEN (DVD) OTH	44.42	30.12.2009	31.12.9999	101	10
0000156524	000000000000008434	MIDNIGHT MASS (DVD) OTH	29.61	30.12.2009	31.12.9999	101	10
0000156525	000000000000008460	SPY KIDS 2 (DVD) OTH	37.02	30.12.2009	31.12.9999	101	10
0000156526	000000000000008461	TADPOLE (DVD) OTH	29.61	30.12.2009	31.12.9999	101	10
0000156527	000000000000008462	BELOW (DVD) OTH	24.45	30.12.2009	31.12.9999	101	10
0000156528	000000000000008468	CLUBHSE DETECTIVE SCAVENGER HUNT(DVD)OTH	37.02	30.12.2009	31.12.9999	101	10
0000156529	000000000000008472	ST ANDREW'S GIRLS (DVD) OTH	29.61	30.12.2009	31.12.9999	101	10
0000156530	000000000000008483	ABANDON (DVD) OTH	24.45	30.12.2009	31.12.9999	101	10
0000156531	000000000000008485	HORROR IN THE ATTIC (DVD) OTH	29.61	30.12.2009	31.12.9999	101	10
0000156532	000000000000008545	CHICAGO(DVD) OTH	44.42	30.12.2009	31.12.9999	101	10
0000156533	000000000000008546	PIANIST ,THE(DVD) OTH	24.45	30.12.2009	31.12.9999	101	10
0000156534	000000000000008547	CLUBHSE DETECTIVES:BIG TROUBLE (DVD) OTH	37.02	30.12.2009	31.12.9999	101	10
0000156535	000000000000008550	RECRUIT ,THE (DVD) OTH	44.42	30.12.2009	31.12.9999	101	10
0000156536	000000000000008607	WATER'S EDGE (DVD) OTH	29.61	30.12.2009	31.12.9999	101	10
0000156537	000000000000008608	PIPE DREAMS (DVD) OTH	29.61	30.12.2009	31.12.9999	101	10
0000156538	000000000000008658	CHARLIE'S ANGELS 2 (DVD) - SPHE	37.02	30.12.2009	31.12.9999	101	10
0000156539	000000000000008659	HUNTED ,THE (DVD) OTH	44.42	30.12.2009	31.12.9999	101	10
0000156540	000000000000008661	RULES OF ATTRACTION (DVD) OTH	44.42	30.12.2009	31.12.9999	101	10
0000156541	000000000000008664	SERIAL KILLER (DVD) OTH	29.61	30.12.2009	31.12.9999	101	10
0000156542	000000000000008665	FOUR FEATHERS , THE (DVD) OTH	44.42	30.12.2009	31.12.9999	101	10
0000156543	000000000000008666	HOURS , THE (DVD) OTH	44.42	30.12.2009	31.12.9999	101	10
0000156544	000000000000008669	WENDIGO (DVD) OTH	29.61	30.12.2009	31.12.9999	101	10
0000156545	000000000000008671	DEFIANCE (DVD) OTH	24.45	30.12.2009	31.12.9999	101	10
0000156546	000000000000008673	WHALE RIDER (DVD)OTH	44.42	30.12.2009	31.12.9999	101	10
0000156547	000000000000008675	BOWLING FOR COLUMBINE (DVD) OTH	37.02	30.12.2009	31.12.9999	101	10
